"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6","test","","2026-04-05","failed","2026-04-05","","codegen.spec.js","",""
"","3","afegrhrehtjt","","2026-04-05","failed","2026-04-05","","Webpart1.spec.js","",""
"","4","new test signin","","2026-04-05","failed","2026-04-05","","Webpractice.spec.js","",""
"","4","screenshot scenario","","2026-04-05","failed","2026-04-05","","Screenshot.spec.js","",""
"","5","Browser playwright test","","2026-04-05","failed","2026-04-05","","UIbasics.spec.js","",""
"","3","child windows handle","","2026-04-05","failed","2026-04-05","","UIbasics.spec.js","",""
"","5","client app login","","2026-04-05","failed","2026-04-05","","practics.spec.js","",""
"","5","testsa playwright test","","2026-04-05","failed","2026-04-05","","practice.spec.js","",""
"","4","Purchaseproduct","","2026-04-05","failed","2026-04-05","","Purchaseproduct.spec.js","",""
"","6","client app login","","2026-04-05","failed","2026-04-05","","Webpart2.spec.js","",""
"","3","Visual test screenshot","","2026-04-05","failed","2026-04-05","","Screenshot.spec.js","",""
"","3","Page playwright test","","2026-04-05","failed","2026-04-05","","UIbasics.spec.js","",""
"","4","UI playwright test","","2026-04-05","failed","2026-04-05","","UIbasics.spec.js","",""
"","4","Security purpose code","","2026-04-05","failed","2026-04-05","","Network.spec.js","",""
"","6","playwright special locators","","2026-04-05","failed","2026-04-05","","SimplePractice.spec.js","",""
"","11","calender validation","","2026-04-05","failed","2026-04-05","","Calender.spec.js","",""
"","5","morevalidation test","","2026-04-05","failed","2026-04-05","","MoreValidation.spec.js","",""
